Date,Close,signal,proba_up
2020-12-02,19204.09,0,0.47780345005719405
2020-12-03,19421.9,0,0.5309255656369302
2020-12-04,18650.52,0,0.6775210628113947
2020-12-05,19147.66,1,0.5731741707381375
2020-12-06,19359.4,1,0.6431103005082736
2020-12-07,19166.9,1,0.6396523491033745
2020-12-08,18324.11,1,0.7238587590493881
2020-12-09,18541.28,1,0.6106755973331662
2020-12-10,18254.63,1,0.7629175720362239
2020-12-11,18036.53,1,0.7258131268080642
2020-12-12,18808.69,0,0.6329173732437774
2020-12-13,19174.99,1,0.5345840316846341
2020-12-14,19273.14,1,0.5646325934388396
2020-12-15,19426.43,1,0.6397705780682245
2020-12-16,21335.52,0,0.6089146154461866
2020-12-17,22797.16,0,0.6974093043196492
2020-12-18,23107.39,0,0.5134373148055893
2020-12-19,23821.61,0,0.4764011050630762
2020-12-20,23455.52,0,0.6627420529841764
2020-12-21,22719.71,0,0.7678320837545658
2020-12-22,23810.79,0,0.438923134511632
2020-12-23,23232.76,0,0.7039148062927651
2020-12-24,23729.2,0,0.3694316944677965
2020-12-25,24712.47,0,0.46561355134024784
2020-12-26,26493.39,0,0.48901427123309993
2020-12-27,26281.66,0,0.552230348471112
2020-12-28,27079.41,0,0.37073680217097044
2020-12-29,27385.0,0,0.4499810253434744
2020-12-30,28875.54,0,0.5438979008017314
2020-12-31,28923.63,0,0.42740234611689143
2021-01-01,29331.69,0,0.44917910039328207
2021-01-02,32178.33,0,0.2976470872444286
2021-01-03,33000.05,0,0.4458961953417797
2021-01-04,31988.71,0,0.4298381744807618
2021-01-05,33949.53,0,0.3974717584390566
2021-01-06,36769.36,0,0.230506465397472
2021-01-07,39432.28,0,0.42996535915649603
2021-01-08,40582.81,0,0.4340668917746841
2021-01-09,40088.22,0,0.33902266217667215
2021-01-10,38150.02,0,0.5093751954308763
2021-01-11,35404.47,0,0.45621127122813787
2021-01-12,34051.24,0,0.5527302776601697
2021-01-13,37371.38,0,0.18700516676711937
2021-01-14,39144.5,0,0.31679112037560164
2021-01-15,36742.22,0,0.5322768745638153
2021-01-16,35994.98,0,0.5604527978009791
2021-01-17,35828.61,0,0.5441022672846649
2021-01-18,36631.27,0,0.503746086940944
2021-01-19,35891.49,0,0.6866573931940502
2021-01-20,35468.23,0,0.6449339525253702
2021-01-21,30850.13,0,0.8414324071455357
2021-01-22,32945.17,0,0.3632709811925812
2021-01-23,32078.0,0,0.8821586469765518
2021-01-24,32259.9,0,0.6082285927127823
2021-01-25,32254.2,0,0.8365733213949571
2021-01-26,32467.77,0,0.6712873715180687
2021-01-27,30366.15,1,0.8383505511624763
2021-01-28,33364.86,0,0.47777448769203595
2021-01-29,34252.2,0,0.7670998914610512
2021-01-30,34262.88,0,0.6651582654674328
2021-01-31,33092.98,0,0.8068692888342328
2021-02-01,33526.37,0,0.6975536018657787
2021-02-02,35466.24,0,0.6292467916548604
2021-02-03,37618.87,0,0.6972013977900599
2021-02-04,36936.66,0,0.7512387390847435
2021-02-05,38290.24,0,0.5964986535829514
2021-02-06,39186.94,0,0.6437504199111606
2021-02-07,38795.69,0,0.6765801803462603
2021-02-08,46374.87,0,0.43702579050007373
2021-02-09,46420.42,0,0.5683248849039365
2021-02-10,44807.58,0,0.6644153013717827
2021-02-11,47969.51,0,0.4251751898321874
2021-02-12,47287.6,0,0.6826650137708768
2021-02-13,47153.69,0,0.6119330384916297
2021-02-14,48577.79,0,0.456759916557819
2021-02-15,47911.1,0,0.6492818764328212
2021-02-16,49133.45,0,0.48496174753765015
2021-02-17,52119.71,0,0.3879645635648569
2021-02-18,51552.6,0,0.5365528667405509
2021-02-19,55906.0,0,0.25475038407253814
